iter	Logloss
0	0.6440290926
1	0.6064489397
2	0.577435984
3	0.5549288176
4	0.5381710582
5	0.523036908
6	0.5124038732
7	0.5030506795
8	0.4947606254
9	0.488086165
10	0.4822928964
11	0.4777984497
12	0.4734710227
13	0.4698529405
14	0.4667242068
15	0.4633511458
16	0.4604288421
17	0.4581716035
18	0.4560193702
19	0.4535948182
20	0.4515401172
21	0.4500901121
22	0.4483434345
23	0.4468975557
24	0.4454971868
25	0.4439684502
26	0.4424460652
27	0.4412954545
28	0.4399232341
29	0.4387135535
30	0.437805732
31	0.436659453
32	0.4356902658
33	0.4346663864
34	0.4339495478
35	0.4327481819
36	0.4320769189
37	0.4314047888
38	0.4307199106
39	0.4300961426
40	0.4295362337
41	0.4289453674
42	0.428269796
43	0.4274938467
44	0.4269146991
45	0.4264316621
46	0.4259842537
47	0.4254173819
48	0.4248617878
49	0.4243639402
50	0.4238095514
51	0.423263338
52	0.4229093224
53	0.4225729591
54	0.4218499242
55	0.421538044
56	0.4211290415
57	0.4205154833
58	0.4201812019
59	0.4197932222
60	0.4191728952
61	0.4188310903
62	0.4184562043
63	0.4181327641
64	0.4177267138
65	0.417489365
66	0.4171804926
67	0.4168337393
68	0.4165113756
69	0.4160889408
70	0.4158072582
71	0.415602346
72	0.4152894213
73	0.4149253804
74	0.4147113372
75	0.414429378
76	0.4142467464
77	0.4140283459
78	0.4137297073
79	0.4134213348
80	0.413209349
81	0.4129395298
82	0.4127036208
83	0.4125050778
84	0.4122612344
85	0.4121042054
86	0.4118575265
87	0.41168626
88	0.4114362909
89	0.4112387395
90	0.4110471478
91	0.4108054496
92	0.4106049983
93	0.4104219935
94	0.4102183084
95	0.4100391035
96	0.4098268121
97	0.4096278462
98	0.4093783095
99	0.4092214065
100	0.4090280573
101	0.4089222886
102	0.4087919747
103	0.4086022658
104	0.4084691609
105	0.4082876968
106	0.4080952692
107	0.4078934525
108	0.407695995
109	0.4075448996
110	0.4073300095
111	0.4071860107
112	0.407012451
113	0.4068432984
114	0.4067092605
115	0.4065622594
116	0.4062298559
117	0.406047962
118	0.4058567334
119	0.4057336528
120	0.4056110615
121	0.4053629587
122	0.4052511444
123	0.4051343312
124	0.4049913619
125	0.4048615922
126	0.40468449
127	0.4044969086
128	0.4043366748
129	0.4041822474
130	0.4039908292
131	0.4038754927
132	0.4036915955
133	0.4035555683
134	0.4033561454
135	0.4031710546
136	0.4030156815
137	0.4028679427
138	0.4027579455
139	0.4026086778
140	0.4023961991
141	0.4022448435
142	0.4020755786
143	0.4019331612
144	0.4017752214
145	0.4016455735
146	0.4014881391
147	0.401301202
148	0.4011527864
149	0.4009771222
150	0.4007981762
151	0.4006635666
152	0.4004671209
153	0.4003168873
154	0.4001839177
155	0.3999484374
156	0.3998429775
157	0.3997311856
158	0.3995871445
159	0.3994052428
160	0.3991464472
161	0.3990088204
162	0.3988069222
163	0.3985947181
164	0.3984582757
165	0.3983116148
166	0.3981831756
167	0.3980324972
168	0.3978595717
169	0.3976613732
170	0.3975496832
171	0.3974382924
172	0.3973167323
173	0.3972313372
174	0.3970979997
175	0.3969516972
176	0.3968340001
177	0.3967063924
178	0.3966083905
179	0.3964545279
180	0.396358555
181	0.3961797087
182	0.396030856
183	0.3958881155
184	0.3957431651
185	0.3955932377
186	0.3954333369
187	0.3952430637
188	0.3951043691
189	0.3949349044
190	0.3948148851
191	0.3947114722
192	0.3946081869
193	0.3944822868
194	0.394358242
195	0.3942289211
196	0.3941043526
197	0.3939656358
198	0.3938204489
199	0.3936925161
200	0.393609297
201	0.3935023105
202	0.3933488609
203	0.3932228831
204	0.3931454739
205	0.3929823436
206	0.3928604284
207	0.3927713603
208	0.3926269376
209	0.3925114532
210	0.3923673918
211	0.3922442895
212	0.3920839932
213	0.3919870673
214	0.391891229
215	0.391785822
216	0.3916570686
217	0.3915318318
218	0.3914062696
219	0.3912892677
220	0.3911546686
221	0.3910449337
222	0.390964913
223	0.3908649834
224	0.390769666
225	0.3906495171
226	0.3904782313
227	0.3903935018
228	0.3902577224
229	0.3901184806
230	0.3899900682
231	0.3899053222
232	0.3897819289
233	0.3896390526
234	0.3895381654
235	0.3894598912
236	0.3893832964
237	0.3892653744
238	0.3891439989
239	0.3889805402
240	0.3889028895
241	0.3887939785
242	0.3887728518
243	0.3886639546
244	0.3885467961
245	0.3884356636
246	0.3883040835
247	0.3881931948
248	0.3881782297
249	0.3880953008
250	0.3879780816
251	0.387867308
252	0.3877530455
253	0.3876331068
254	0.387515367
255	0.3873990847
256	0.3872635791
257	0.3871547263
258	0.387040211
259	0.3869465169
260	0.3868043866
261	0.3866815938
262	0.3865790436
263	0.3864805491
264	0.3863238693
265	0.3862280246
266	0.3861101123
267	0.3860110239
268	0.3858963374
269	0.3858082302
270	0.3856793572
271	0.3854845838
272	0.3853795951
273	0.3852680329
274	0.3851605523
275	0.3850534649
276	0.3849498807
277	0.384855499
278	0.3847545183
279	0.3847372617
280	0.3846039032
281	0.3844951091
282	0.3844069252
283	0.3842852563
284	0.3842091711
285	0.384072176
286	0.3839679474
